"CUSP_ID","LONGITUDE","LATITUDE","ELAPSED_DAYS","MAG","DEPTH","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND"
3366146,172.1744740476,-43.5506459079181,0,7.1,10.8659,2010,9,3,16,35,41.29099
3366155,172.179876782966,-43.6696988034244,0.014221674,5.575,10.1275,2010,9,3,16,56,10.04361
3366157,172.260707767748,-43.6599201287264,0.021407002,4.689,9.78,2010,9,3,17,6,30.85598
3366167,172.08367648161,-43.6177579511406,0.034988902,4.743,6.9684,2010,9,3,17,26,4.33215
3366174,172.12571588131,-43.5590533685729,0.043402984,4.444,11.1684,2010,9,3,17,38,11.30883
3366177,172.176047984472,-43.6456745412457,0.049069097,4.291,14.6389,2010,9,3,17,46,20.86095
3366182,172.123494398093,-43.5672007786461,0.05512199,4.556,3.3487,2010,9,3,17,55,3.83093
3366184,172.34466470981,-43.6162772858846,0.059379049,4.451,2.5002,2010,9,3,18,1,11.64082
3366187,172.558337352454,-43.5504795573004,0.061407478,4.081,23.8697,2010,9,3,18,4,6.89712
3366188,172.430363434797,-43.6064078387223,0.063562122,3.946,9.3183,2010,9,3,18,7,13.05836
3366191,172.189770483781,-43.6092899039121,0.069264902,4.135,5,2010,9,3,18,15,25.77854
3366192,171.953027095976,-43.5362869118315,0.071040599,4.312,16.1683,2010,9,3,18,17,59.19874
3375021,172.413221420763,-43.6500658721496,0.071090885,4.496,5,2010,9,3,18,18,3.54347
3366196,172.174909220422,-43.4664763471292,0.075275784,4.028,5.8776,2010,9,3,18,24,5.11876
3366198,172.357807471688,-43.619978499456,0.081648488,4.185,7.4981,2010,9,3,18,33,15.72036
3366206,172.385545931984,-43.6017225981388,0.096492424,3.929,5,2010,9,3,18,54,38.23641
3366209,172.377578777915,-43.578979524726,0.096496081,3.862,5,2010,9,3,18,54,38.55242
3366212,172.123179349059,-43.5890807866123,0.103241258,4.321,5,2010,9,3,19,4,21.33568
3366213,172.203017662596,-43.6486992266628,0.105090798,4.81,11.0969,2010,9,3,19,7,1.13591
3366215,172.430372821591,-43.6398907848948,0.109486291,4.572,5.1518,2010,9,3,19,13,20.90656
3366219,172.637543134369,-43.7103512592871,0.115361209,3.642,18.9522,2010,9,3,19,21,48.49945
3366227,171.997179141342,-43.5728760623773,0.136857608,3.976,8.9827,2010,9,3,19,52,45.78835
3366230,172.404334129547,-43.6030991975478,0.139675678,5.092,5,2010,9,3,19,56,49.26957
3366241,172.388903996355,-43.5855117648031,0.152360406,4.953,5,2010,9,3,20,15,5.2301
3366254,172.244954838441,-43.6005461900657,0.177450622,3.258,6.5937,2010,9,3,20,51,13.02475
3366263,172.341463588276,-43.5628560942898,0.191760959,3.342,5,2010,9,3,21,11,49.43784
3366266,172.286913264867,-43.5829730467569,0.198358083,3.931,5,2010,9,3,21,21,19.42937
3366269,172.31027350926,-43.597633852085,0.20534082,3.084,5,2010,9,3,21,31,22.73784
3366274,172.276076491505,-43.5664964167978,0.211673075,3.685,9.9709,2010,9,3,21,40,29.84469
3366275,172.384793250698,-43.5867140461162,0.21321887,4.072,5,2010,9,3,21,42,43.40134
3366278,172.171636528226,-43.5736509894871,0.218427171,3.381,6.309,2010,9,3,21,50,13.39856
3366281,172.309099237435,-43.5810468702585,0.2247631,3.236,5,2010,9,3,21,59,20.82281
3366288,172.402598417536,-43.6121180955339,0.237331848,4.362,5.2038,2010,9,3,22,17,26.76263
3366302,172.350277509534,-43.5918173993487,0.260123556,4.029,12,2010,9,3,22,50,15.96624
3366305,172.34604258336,-43.6021716043595,0.266062205,3.922,5,2010,9,3,22,58,49.06551
3366308,172.327347168756,-43.2409906615832,0.272626922,3.843,12,2010,9,3,23,8,16.25707
3366310,172.178972866957,-43.5364018848139,0.275747448,5.322,7.4421,2010,9,3,23,12,45.87051
3366313,172.165506829704,-43.5394195269559,0.277238146,5.311,6.2081,2010,9,3,23,14,54.66679
3366329,172.374329972975,-43.5444880365432,0.303303867,3.92,5,2010,9,3,23,52,26.74508
3366340,172.242287865068,-43.589916332346,0.321107814,3.983,6.3,2010,9,4,0,18,5.00611
3366351,171.897301718094,-43.5640048776616,0.341587939,3.471,5,2010,9,4,0,47,34.4889
3366354,172.329936275795,-43.5901888727396,0.348242727,2.712,5,2010,9,4,0,57,9.46261
3366357,172.243597246344,-43.5383388914657,0.354670043,2.489,5,2010,9,4,1,6,24.78268
3366366,172.146542671878,-43.488764059844,0.369031638,3.256,5,2010,9,4,1,27,5.62453
3366374,172.29239747262,-43.5809365793575,0.383204838,2.957,12,2010,9,4,1,47,30.189
3366375,172.349004337451,-43.5707298448485,0.384527706,3.987,21.3191,2010,9,4,1,49,24.48475
3366376,172.333604550643,-43.5956017294407,0.386579581,4.432,5,2010,9,4,1,52,21.76678
3366379,172.232835323663,-43.6807197515073,0.392617406,4.377,13.8811,2010,9,4,2,1,3.43491
3366422,172.258660224858,-43.6010221442254,0.392629054,4.129,10.5796,2010,9,4,2,1,4.44127
3366383,172.241937260831,-43.4669201235628,0.396364698,3.539,5,2010,9,4,2,6,27.20094
3366389,172.42607771664,-43.5892940058101,0.407618249,3.468,2.5314,2010,9,4,2,22,39.50772
3366392,172.11312952668,-43.6158819518934,0.412904361,2.955,5,2010,9,4,2,30,16.22779
3366393,173.095049819098,-43.7488284193519,0.414779543,3.294,12,2010,9,4,2,32,58.24353
3366395,172.38809827357,-43.4845245752788,0.417532203,3.132,1.8149,2010,9,4,2,36,56.07331
3366397,172.387053885944,-43.4077021668226,0.422086087,2.972,4.0862,2010,9,4,2,43,29.52894
3366401,172.370908857225,-43.5510491804622,0.426825982,3.863,12.6686,2010,9,4,2,50,19.05587
3366400,172.322520291473,-43.5065340090249,0.426828452,3.797,10.4159,2010,9,4,2,50,19.26927
3366419,172.269613206377,-43.5759158609813,0.458112077,3.058,5,2010,9,4,3,35,22.17443
3366420,172.541097176076,-43.439007742549,0.461364301,3.35,17.2974,2010,9,4,3,40,3.16659
3366423,172.15358876066,-43.6188593967175,0.464272569,3.984,12.6567,2010,9,4,3,44,14.44093
3366427,172.44090208519,-43.5634532379274,0.472640278,3.869,12.9673,2010,9,4,3,56,17.41098
3366434,171.948154947026,-43.5575946564757,0.477894041,3.282,6.796,2010,9,4,4,3,51.33614
3366437,172.361953393946,-43.6511984671024,0.482975159,3.563,5,2010,9,4,4,11,10.34474
3366440,172.295933330568,-43.6124799585609,0.490737038,2.862,13.9543,2010,9,4,4,22,20.97105
3366444,172.330737402122,-43.5905355625132,0.497465312,3.175,12,2010,9,4,4,32,2.29392
3366445,172.048194341766,-43.5851371221374,0.498640998,3.886,1.9226,2010,9,4,4,33,43.87326
3366447,171.866934584973,-43.6112305200427,0.503993596,2.353,4,2010,9,4,4,41,26.3377
3366449,172.989141963698,-43.7510574433395,0.506033163,3.826,3.959,2010,9,4,4,44,22.55631
3366450,172.412414924684,-43.6218533428485,0.509001688,4.175,5,2010,9,4,4,48,39.03686
